firstname,middlename,lastname,sortname,name,namemod,nickname,caucus,congress_numbers/0,congress_numbers/1,congress_numbers/2,current,description,district,startdate,enddate,address,contact_form,fax,office,rss_url,leadership_title,party,bioguideid,birthday,cspanid,gender,govtrack_link,osid,pvsid,twitterid,youtubeid,phone,role_type,senator_class,senator_rank,state,title,title_long,website,how
Vern,,Buchanan,"Buchanan, Vern (Rep.) [R-FL16]",Rep. Vern Buchanan [R-FL16],,,,115,,,TRUE,Representative for Florida's 16th congressional district,16,1/3/17,1/3/19,2104 Rayburn HOB; Washington DC 20515-0916,,202-226-0828,2104 Rayburn House Office Building,http://buchanan.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=2,,Republican,B001260,5/8/51,1021626,male,https://www.govtrack.us/congress/members/vern_buchanan/412196,N00027626,66247,VernBuchanan,vernbuchanan,202-225-5015,representative,,,FL,Rep.,Representative,https://buchanan.house.gov,
Henry,C.,Johnson,"Johnson, Henry â€œHankâ€ù (Rep.) [D-GA4]",Rep. Henry â€œHankâ€ù Johnson [D-GA4],Jr.,Hank,,115,,,TRUE,Representative for Georgia's 4th congressional district,4,1/3/17,1/3/19,2240 Rayburn HOB; Washington DC 20515-1004,,202-226-0691,2240 Rayburn House Office Building,http://hankjohnson.house.gov/rss.xml,,Democrat,J000288,10/2/54,1020576,male,https://www.govtrack.us/congress/members/henry_johnson/412199,N00027848,68070,RepHankJohnson,RepHankJohnson,202-225-1605,representative,,,GA,Rep.,Representative,https://hankjohnson.house.gov,
Peter,J.,Roskam,"Roskam, Peter (Rep.) [R-IL6]",Rep. Peter Roskam [R-IL6],,,,115,,,TRUE,Representative for Illinois's 6th congressional district,6,1/3/17,1/3/19,2246 Rayburn HOB; Washington DC 20515-1306,,202-225-1166,2246 Rayburn House Office Building,http://roskam.house.gov/index.php?format=feed&amp;type=rss,,Republican,R000580,9/13/61,1021912,male,https://www.govtrack.us/congress/members/peter_roskam/412202,N00004719,6382,PeterRoskam,RoskamIL06,202-225-4561,representative,,,IL,Rep.,Representative,https://roskam.house.gov,
David,,Loebsack,"Loebsack, David (Rep.) [D-IA2]",Rep. David Loebsack [D-IA2],,,,115,,,TRUE,Representative for Iowa's 2nd congressional district,2,1/3/17,1/3/19,1527 Longworth HOB; Washington DC 20515-1502,,202-226-0757,1527 Longworth House Office Building,http://loebsack.house.gov/news/rss.aspx,,Democrat,L000565,12/23/52,1022883,male,https://www.govtrack.us/congress/members/david_loebsack/412209,N00027741,68964,DaveLoebsack,congressmanloebsack,202-225-6576,representative,,,IA,Rep.,Representative,https://loebsack.house.gov,
John,A.,Yarmuth,"Yarmuth, John (Rep.) [D-KY3]",Rep. John Yarmuth [D-KY3],,,,115,,,TRUE,Representative for Kentucky's 3rd congressional district,3,1/3/17,1/3/19,131 Cannon HOB; Washington DC 20515-1703,,202-225-5776,131 Cannon House Office Building,,,Democrat,Y000062,11/4/47,1021662,male,https://www.govtrack.us/congress/members/john_yarmuth/412211,N00028073,58579,RepJohnYarmuth,RepJohnYarmuth,202-225-5401,representative,,,KY,Rep.,Representative,https://yarmuth.house.gov,
John,P.,Sarbanes,"Sarbanes, John (Rep.) [D-MD3]",Rep. John Sarbanes [D-MD3],,,,115,,,TRUE,Representative for Maryland's 3rd congressional district,3,1/3/17,1/3/19,2444 Rayburn HOB; Washington DC 20515-2003,,202-225-9219,2444 Rayburn House Office Building,http://sarbanes.house.gov/rss_news.asp,,Democrat,S001168,5/22/62,1022884,male,https://www.govtrack.us/congress/members/john_sarbanes/412212,N00027751,66575,RepSarbanes,,202-225-4016,representative,,,MD,Rep.,Representative,https://sarbanes.house.gov,
Tim,,Walberg,"Walberg, Tim (Rep.) [R-MI7]",Rep. Tim Walberg [R-MI7],,,,115,,,TRUE,Representative for Michigan's 7th congressional district,7,1/3/17,1/3/19,2436 Rayburn HOB; Washington DC 20515-2207,,202-225-6281,2436 Rayburn House Office Building,http://walberg.house.gov/news/rss.aspx,,Republican,W000798,4/12/51,1022844,male,https://www.govtrack.us/congress/members/tim_walberg/412213,N00026368,8618,RepWalberg,RepWalberg,202-225-6276,representative,,,MI,Rep.,Representative,https://walberg.house.gov,
Timothy,James,Walz,"Walz, Timothy (Rep.) [D-MN1]",Rep. Timothy Walz [D-MN1],,,,115,,,TRUE,Representative for Minnesota's 1st congressional district,1,1/3/17,1/3/19,2313 Rayburn HOB; Washington DC 20515-2301,,202-225-3433,2313 Rayburn House Office Building,http://walz.house.gov/index.php?format=feed&amp;type=rss,,Democrat,W000799,4/6/64,1018510,male,https://www.govtrack.us/congress/members/timothy_walz/412214,N00027467,65443,RepTimWalz,1529tjw,202-225-2472,representative,,,MN,Rep.,Representative,https://walz.house.gov,
Keith,Maurice,Ellison,"Ellison, Keith (Rep.) [D-MN5]",Rep. Keith Ellison [D-MN5],,,,115,,,TRUE,Representative for Minnesota's 5th congressional district,5,1/3/17,1/3/19,2263 Rayburn HOB; Washington DC 20515-2305,,202-225-4886,2263 Rayburn House Office Building,http://ellison.house.gov/index.php?format=feed&amp;type=rss,,Democrat,E000288,8/4/63,1022556,male,https://www.govtrack.us/congress/members/keith_ellison/412215,N00028257,38982,KeithEllison,RepKeithEllison,202-225-4755,representative,,,MN,Rep.,Representative,https://ellison.house.gov,
Adrian,,Smith,"Smith, Adrian (Rep.) [R-NE3]",Rep. Adrian Smith [R-NE3],,,,115,,,TRUE,Representative for Nebraska's 3rd congressional district,3,1/3/17,1/3/19,320 Cannon HOB; Washington DC 20515-2703,,202-225-0207,320 Cannon House Office Building,http://adriansmith.house.gov/rss.xml,,Republican,S001172,12/19/70,1022845,male,https://www.govtrack.us/congress/members/adrian_smith/412217,N00027623,21284,RepAdrianSmith,RepAdrianSmith,202-225-6435,representative,,,NE,Rep.,Representative,https://adriansmith.house.gov,
Carol,,Shea-Porter,"Shea-Porter, Carol (Rep.) [D-NH1]",Rep. Carol Shea-Porter [D-NH1],,,,115,,,TRUE,Representative for New Hampshire's 1st congressional district,1,1/3/17,1/3/19,1530 Longworth HOB; Washington DC 20515-2901,,202-228-6362,1530 Longworth House Office Building,http://shea-porter.house.gov/rss.xml,,Democrat,S001170,12/2/52,1021773,female,https://www.govtrack.us/congress/members/carol_shea_porter/412219,N00028091,65891,repsheaporter,,202-225-5456,representative,,,NH,Rep.,Representative,https://shea-porter.house.gov,
Yvette,D.,Clarke,"Clarke, Yvette (Rep.) [D-NY9]",Rep. Yvette Clarke [D-NY9],,,,115,,,TRUE,Representative for New York's 9th congressional district,9,1/3/17,1/3/19,2058 Rayburn HOB; Washington DC 20515-3209,,202-226-0112,2058 Rayburn House Office Building,http://clarke.house.gov/news/rss.aspx,,Democrat,C001067,11/21/64,1022875,female,https://www.govtrack.us/congress/members/yvette_clarke/412221,N00026961,44741,RepYvetteClarke,repyvetteclarke,202-225-6231,representative,,,NY,Rep.,Representative,https://clarke.house.gov,
Jim,,Jordan,"Jordan, Jim (Rep.) [R-OH4]",Rep. Jim Jordan [R-OH4],,,,115,,,TRUE,Representative for Ohio's 4th congressional district,4,1/3/17,1/3/19,2056 Rayburn HOB; Washington DC 20515-3504,,202-226-0577,2056 Rayburn House Office Building,http://jordan.house.gov/news/rss.aspx,,Republican,J000289,2/17/64,1022879,male,https://www.govtrack.us/congress/members/jim_jordan/412226,N00027894,8158,Jim_Jordan,RepJimJordan,202-225-2676,representative,,,OH,Rep.,Representative,https://jordan.house.gov,
Steve,,Cohen,"Cohen, Steve (Rep.) [D-TN9]",Rep. Steve Cohen [D-TN9],,,,115,,,TRUE,Representative for Tennessee's 9th congressional district,9,1/3/17,1/3/19,2404 Rayburn HOB; Washington DC 20515-4209,,202-225-5663,2404 Rayburn House Office Building,http://cohen.house.gov/rss.xml,,Democrat,C001068,5/24/49,1022876,male,https://www.govtrack.us/congress/members/steve_cohen/412236,N00003225,24340,RepCohen,repcohen,202-225-3265,representative,,,TN,Rep.,Representative,https://cohen.house.gov,
Peter,,Welch,"Welch, Peter (Rep.) [D-VT0]",Rep. Peter Welch [D-VT0],,,,115,,,TRUE,Representative for Vermont At Large,0,1/3/17,1/3/19,2303 Rayburn HOB; Washington DC 20515-4500,,202-225-6790,2303 Rayburn House Office Building,http://www.welch.house.gov/index.php?format=feed&amp;type=rss,,Democrat,W000800,5/2/47,1019990,male,https://www.govtrack.us/congress/members/peter_welch/412239,N00000515,51272,PeterWelch,reppeterwelch,202-225-4115,representative,,,VT,Rep.,Representative,https://welch.house.gov,
Gus,M.,Bilirakis,"Bilirakis, Gus (Rep.) [R-FL12]",Rep. Gus Bilirakis [R-FL12],,,,115,,,TRUE,Representative for Florida's 12th congressional district,12,1/3/17,1/3/19,2112 Rayburn HOB; Washington DC 20515-0912,,202-225-4085,2112 Rayburn House Office Building,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,,Republican,B001257,2/8/63,1022873,male,https://www.govtrack.us/congress/members/gus_bilirakis/412250,N00027462,17318,RepGusBilirakis,RepGusBilirakis,202-225-5755,representative,,,FL,Rep.,Representative,https://bilirakis.house.gov,
Niki,S.,Tsongas,"Tsongas, Niki (Rep.) [D-MA3]",Rep. Niki Tsongas [D-MA3],,,,115,,,TRUE,Representative for Massachusetts's 3rd congressional district,3,1/3/17,1/3/19,1714 Longworth HOB; Washington DC 20515-2103,,202-226-0771,1714 Longworth House Office Building,http://tsongas.house.gov/rss/press-releases.xml,,Democrat,T000465,4/26/46,21764,female,https://www.govtrack.us/congress/members/niki_tsongas/412254,N00029026,89417,NikiInTheHouse,RepTsongas,202-225-3411,representative,,,MA,Rep.,Representative,https://tsongas.house.gov,
Robert,J.,Wittman,"Wittman, Robert (Rep.) [R-VA1]",Rep. Robert Wittman [R-VA1],,,,115,,,TRUE,Representative for Virginia's 1st congressional district,1,1/3/17,1/3/19,2055 Rayburn HOB; Washington DC 20515-4601,,202-225-4382,2055 Rayburn House Office Building,http://www.wittman.house.gov/index.php?format=feed&amp;type=rss,,Republican,W000804,2/3/59,1028089,male,https://www.govtrack.us/congress/members/robert_wittman/412255,N00029459,58133,RobWittman,RobWittman,202-225-4261,representative,,,VA,Rep.,Representative,https://wittman.house.gov,
Robert,E.,Latta,"Latta, Robert (Rep.) [R-OH5]",Rep. Robert Latta [R-OH5],,,,115,,,TRUE,Representative for Ohio's 5th congressional district,5,1/3/17,1/3/19,2448 Rayburn HOB; Washington DC 20515-3505,,202-225-1985,2448 Rayburn House Office Building,http://latta.house.gov/news/rss.aspx,,Republican,L000566,4/18/56,1028071,male,https://www.govtrack.us/congress/members/robert_latta/412256,N00012233,9926,BobLatta,CongressmanBobLatta,202-225-6405,representative,,,OH,Rep.,Representative,https://latta.house.gov,
Bill,,Foster,"Foster, Bill (Rep.) [D-IL11]",Rep. Bill Foster [D-IL11],,,,115,,,TRUE,Representative for Illinois's 11th congressional district,11,1/3/17,1/3/19,1224 Longworth HOB; Washington DC 20515-1311,,202-225-9420,1224 Longworth House Office Building,http://foster.house.gov/rss.xml,,Democrat,F000454,10/7/55,1027346,male,https://www.govtrack.us/congress/members/bill_foster/412257,N00029139,101632,RepBillFoster,RepBillFoster,202-225-3515,representative,,,IL,Rep.,Representative,https://foster.house.gov,
AndrÃ©,,Carson,"Carson, AndrÃ© (Rep.) [D-IN7]",Rep. AndrÃ© Carson [D-IN7],,,,115,,,TRUE,Representative for Indiana's 7th congressional district,7,1/3/17,1/3/19,2135 Rayburn HOB; Washington DC 20515-1407,,202-225-5633,2135 Rayburn House Office Building,http://carson.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,,Democrat,C001072,10/16/74,1027364,male,https://www.govtrack.us/congress/members/andre_carson/412258,N00029513,84917,RepAndreCarson,repandrecarson,202-225-4011,representative,,,IN,Rep.,Representative,https://carson.house.gov,
Jackie,,Speier,"Speier, Jackie (Rep.) [D-CA14]",Rep. Jackie Speier [D-CA14],,,,115,,,TRUE,Representative for California's 14th congressional district,14,1/3/17,1/3/19,2465 Rayburn HOB; Washington DC 20515-0514,,202-347-0956,2465 Rayburn House Office Building,http://speier.house.gov/index.php?format=feed&amp;type=rss,,Democrat,S001175,5/14/50,1027627,female,https://www.govtrack.us/congress/members/jackie_speier/412259,N00029649,8425,RepSpeier,jackiespeierca12,202-225-3531,representative,,,CA,Rep.,Representative,https://speier.house.gov,
Steve,Joseph,Scalise,"Scalise, Steve (Rep.) [R-LA1]",Rep. Steve Scalise [R-LA1],,,,115,,,TRUE,Representative for Louisiana's 1st congressional district,1,1/3/17,1/3/19,2338 Rayburn HOB; Washington DC 20515-1801,,202-226-0386,2338 Rayburn House Office Building,http://scalise.house.gov/rss.xml,Majority Whip,Republican,S001176,10/6/65,1015311,male,https://www.govtrack.us/congress/members/steve_scalise/412261,N00009660,9026,SteveScalise,RepSteveScalise,202-225-3015,representative,,,LA,Rep.,Representative,https://scalise.house.gov,
Mike,,Coffman,"Coffman, Mike (Rep.) [R-CO6]",Rep. Mike Coffman [R-CO6],,,,115,,,TRUE,Representative for Colorado's 6th congressional district,6,1/3/17,1/3/19,2443 Rayburn HOB; Washington DC 20515-0606,,202-226-4623,2443 Rayburn House Office Building,http://coffman.house.gov/index.php?format=feed&amp;type=rss,,Republican,C001077,3/19/55,1031340,male,https://www.govtrack.us/congress/members/mike_coffman/412271,N00024753,1535,RepMikeCoffman,CongressmanCoffman,202-225-7882,representative,,,CO,Rep.,Representative,https://coffman.house.gov,
Gerald,E.,Connolly,"Connolly, Gerald (Rep.) [D-VA11]",Rep. Gerald Connolly [D-VA11],,,,115,,,TRUE,Representative for Virginia's 11th congressional district,11,1/3/17,1/3/19,2238 Rayburn HOB; Washington DC 20515-4611,,202-225-3071,2238 Rayburn House Office Building,http://connolly.house.gov/common/rss//index.cfm?rss=44,,Democrat,C001078,3/30/50,1015936,male,https://www.govtrack.us/congress/members/gerald_connolly/412272,N00029891,95078,GerryConnolly,repconnolly,202-225-1492,representative,,,VA,Rep.,Representative,https://connolly.house.gov,
Brett,,Guthrie,"Guthrie, Brett (Rep.) [R-KY2]",Rep. Brett Guthrie [R-KY2],,,,115,,,TRUE,Representative for Kentucky's 2nd congressional district,2,1/3/17,1/3/19,2434 Rayburn HOB; Washington DC 20515-1702,,202-226-2019,2434 Rayburn House Office Building,http://guthrie.house.gov/common/rss/?rss=24,,Republican,G000558,2/18/64,1031343,male,https://www.govtrack.us/congress/members/brett_guthrie/412278,N00029675,18829,RepGuthrie,BrettGuthrie,202-225-3501,representative,,,KY,Rep.,Representative,https://guthrie.house.gov,
Gregg,,Harper,"Harper, Gregg (Rep.) [R-MS3]",Rep. Gregg Harper [R-MS3],,,,115,,,TRUE,Representative for Mississippi's 3rd congressional district,3,1/3/17,1/3/19,2227 Rayburn HOB; Washington DC 20515-2403,,202-225-5797,2227 Rayburn House Office Building,http://harper.house.gov/rss.xml,,Republican,H001045,6/1/56,1031347,male,https://www.govtrack.us/congress/members/gregg_harper/412280,N00029632,101985,GreggHarper,congressmanharper,202-225-5031,representative,,,MS,Rep.,Representative,https://harper.house.gov,
James,A.,Himes,"Himes, James (Rep.) [D-CT4]",Rep. James Himes [D-CT4],,,,115,,,TRUE,Representative for Connecticut's 4th congressional district,4,1/3/17,1/3/19,1227 Longworth HOB; Washington DC 20515-0704,,202-225-9629,1227 Longworth House Office Building,http://himes.house.gov/rss.xml,,Democrat,H001047,7/5/66,1031341,male,https://www.govtrack.us/congress/members/james_himes/412282,N00029070,106744,JAHimes,congressmanhimes,202-225-5541,representative,,,CT,Rep.,Representative,https://himes.house.gov,
Duncan,D.,Hunter,"Hunter, Duncan (Rep.) [R-CA50]",Rep. Duncan Hunter [R-CA50],,,,115,,,TRUE,Representative for California's 50th congressional district,50,1/3/17,1/3/19,2429 Rayburn HOB; Washington DC 20515-0550,,202-225-0235,2429 Rayburn House Office Building,http://hunter.house.gov/rss.xml,,Republican,H001048,12/7/76,1032398,male,https://www.govtrack.us/congress/members/duncan_hunter/412283,N00029258,104308,Rep_Hunter,CongressmanHunter,202-225-5672,representative,,,CA,Rep.,Representative,https://hunter.house.gov,
Lynn,,Jenkins,"Jenkins, Lynn (Rep.) [R-KS2]",Rep. Lynn Jenkins [R-KS2],,,,115,,,TRUE,Representative for Kansas's 2nd congressional district,2,1/3/17,1/3/19,1526 Longworth HOB; Washington DC 20515-1602,,202-225-7986,1526 Longworth House Office Building,http://lynnjenkins.house.gov/common/rss/?rss=220,,Republican,J000290,6/10/63,1030550,female,https://www.govtrack.us/congress/members/lynn_jenkins/412284,N00029077,18594,RepLynnJenkins,RepLynnJenkins,202-225-6601,representative,,,KS,Rep.,Representative,https://lynnjenkins.house.gov,
Leonard,,Lance,"Lance, Leonard (Rep.) [R-NJ7]",Rep. Leonard Lance [R-NJ7],,,,115,,,TRUE,Representative for New Jersey's 7th congressional district,7,1/3/17,1/3/19,2352 Rayburn HOB; Washington DC 20515-3007,,202-225-9460,2352 Rayburn House Office Building,http://lance.house.gov/rss-button/rss-button/,,Republican,L000567,6/25/52,1031349,male,https://www.govtrack.us/congress/members/leonard_lance/412290,N00000898,4443,RepLanceNJ7,CongressmanLance,202-225-5361,representative,,,NJ,Rep.,Representative,https://lance.house.gov,
Blaine,,Luetkemeyer,"Luetkemeyer, Blaine (Rep.) [R-MO3]",Rep. Blaine Luetkemeyer [R-MO3],,,,115,,,TRUE,Representative for Missouri's 3rd congressional district,3,1/3/17,1/3/19,2230 Rayburn HOB; Washington DC 20515-2503,,202-225-5712,2230 Rayburn House Office Building,http://luetkemeyer.house.gov/news/rss.aspx,,Republican,L000569,5/7/52,1031348,male,https://www.govtrack.us/congress/members/blaine_luetkemeyer/412292,N00030026,20400,RepBlainePress,BLuetkemeyer,202-225-2956,representative,,,MO,Rep.,Representative,https://luetkemeyer.house.gov,
Ben,Ray,LujÃ¡n,"LujÃ¡n, Ben (Rep.) [D-NM3]",Rep. Ben LujÃ¡n [D-NM3],,,,115,,,TRUE,Representative for New Mexico's 3rd congressional district,3,1/3/17,1/3/19,2231 Rayburn HOB; Washington DC 20515-3103,,202-226-1528,2231 Rayburn House Office Building,http://lujan.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,,Democrat,L000570,6/7/72,1031351,male,https://www.govtrack.us/congress/members/ben_lujan/412293,N00029562,102842,RepBenRayLujan,Repbenraylujan,202-225-6190,representative,,,NM,Rep.,Representative,https://lujan.house.gov,
Tom,,McClintock,"McClintock, Tom (Rep.) [R-CA4]",Rep. Tom McClintock [R-CA4],,,,115,,,TRUE,Representative for California's 4th congressional district,4,1/3/17,1/3/19,2312 Rayburn HOB; Washington DC 20515-0504,,202-225-5444,2312 Rayburn House Office Building,http://mcclintock.house.gov/atom.xml,,Republican,M001177,7/10/56,30359,male,https://www.govtrack.us/congress/members/tom_mcclintock/412295,N00006863,9715,RepMcClintock,McClintockCA04,202-225-2511,representative,,,CA,Rep.,Representative,https://mcclintock.house.gov,
Pete,,Olson,"Olson, Pete (Rep.) [R-TX22]",Rep. Pete Olson [R-TX22],,,,115,,,TRUE,Representative for Texas's 22nd congressional district,22,1/3/17,1/3/19,2133 Rayburn HOB; Washington DC 20515-4322,,202-225-5241,2133 Rayburn House Office Building,feed://olson.house.gov/common/rss/?rss=82,,Republican,O000168,12/9/62,1031361,male,https://www.govtrack.us/congress/members/pete_olson/412302,N00029285,102008,RepPeteOlson,,202-225-5951,representative,,,TX,Rep.,Representative,https://olson.house.gov,
Erik,,Paulsen,"Paulsen, Erik (Rep.) [R-MN3]",Rep. Erik Paulsen [R-MN3],,,,115,,,TRUE,Representative for Minnesota's 3rd congressional district,3,1/3/17,1/3/19,127 Cannon HOB; Washington DC 20515-2303,,202-225-6351,127 Cannon House Office Building,http://paulsen.house.gov/common/rss//?rss=105,,Republican,P000594,5/14/65,1030000,male,https://www.govtrack.us/congress/members/erik_paulsen/412303,N00029391,3833,RepErikPaulsen,reperikpaulsen,202-225-2871,representative,,,MN,Rep.,Representative,https://paulsen.house.gov,
Chellie,,Pingree,"Pingree, Chellie (Rep.) [D-ME1]",Rep. Chellie Pingree [D-ME1],,,,115,,,TRUE,Representative for Maine's 1st congressional district,1,1/3/17,1/3/19,2162 Rayburn HOB; Washington DC 20515-1901,,202-225-5590,2162 Rayburn House Office Building,http://pingree.house.gov/index.php?format=feed&amp;type=rss,,Democrat,P000597,4/2/55,1002167,female,https://www.govtrack.us/congress/members/chellie_pingree/412307,N00013817,6586,ChelliePingree,congresswomanpingree,202-225-6116,representative,,,ME,Rep.,Representative,https://pingree.house.gov,
Jared,,Polis,"Polis, Jared (Rep.) [D-CO2]",Rep. Jared Polis [D-CO2],,,,115,,,TRUE,Representative for Colorado's 2nd congressional district,2,1/3/17,1/3/19,1727 Longworth HOB; Washington DC 20515-0602,,202-226-7840,1727 Longworth House Office Building,http://polis.house.gov/news/rss.aspx,,Democrat,P000598,5/12/75,1031300,male,https://www.govtrack.us/congress/members/jared_polis/412308,N00029127,106220,RepJaredPolis,JaredPolis31275,202-225-2161,representative,,,CO,Rep.,Representative,https://polis.house.gov,
Bill,,Posey,"Posey, Bill (Rep.) [R-FL8]",Rep. Bill Posey [R-FL8],,,,115,,,TRUE,Representative for Florida's 8th congressional district,8,1/3/17,1/3/19,2150 Rayburn HOB; Washington DC 20515-0908,,202-225-3516,2150 Rayburn House Office Building,http://posey.house.gov/news/rss.aspx?documenttypeid=1487,,Republican,P000599,12/18/47,88959,male,https://www.govtrack.us/congress/members/bill_posey/412309,N00029662,24280,CongBillPosey,CongressmanPosey,202-225-3671,representative,,,FL,Rep.,Representative,https://posey.house.gov,
David,P.,Roe,"Roe, David â€œPhilâ€ù (Rep.) [R-TN1]",Rep. David â€œPhilâ€ù Roe [R-TN1],,Phil,,115,,,TRUE,Representative for Tennessee's 1st congressional district,1,1/3/17,1/3/19,336 Cannon HOB; Washington DC 20515-4201,,202-225-6356,336 Cannon House Office Building,,,Republican,R000582,7/21/45,1031360,male,https://www.govtrack.us/congress/members/david_roe/412310,N00028463,65306,DrPhilRoe,drphilroe,202-225-6356,representative,,,TN,Rep.,Representative,https://roe.house.gov,
Thomas,J.,Rooney,"Rooney, Thomas (Rep.) [R-FL17]",Rep. Thomas Rooney [R-FL17],,,,115,,,TRUE,Representative for Florida's 17th congressional district,17,1/3/17,1/3/19,2160 Rayburn HOB; Washington DC 20515-0917,,202-225-3132,2160 Rayburn House Office Building,http://rooney.house.gov/index.php?format=feed&amp;type=rss,,Republican,R000583,11/21/70,1030486,male,https://www.govtrack.us/congress/members/thomas_rooney/412311,N00029018,107800,TomRooney,CongressmanRooney,202-225-5792,representative,,,FL,Rep.,Representative,https://rooney.house.gov,
Gregorio,Kilili Camacho,Sablan,"Sablan, Gregorio (Rep.) [D-MP0]",Rep. Gregorio Sablan [D-MP0],,,,115,,,TRUE,Delegate for the Northern Mariana Islands,0,1/3/17,1/3/19,2411 Rayburn HOB; Washington DC 20515-5201,,202-226-4249,2411 Rayburn House Office Building,http://sablan.house.gov/rss.xml,,Democrat,S001177,1/19/55,1031366,male,https://www.govtrack.us/congress/members/gregorio_sablan/412312,N00030418,110903,,CongressmanSablan,202-225-2646,representative,,,MP,Rep.,Delegate,https://sablan.house.gov,
Kurt,,Schrader,"Schrader, Kurt (Rep.) [D-OR5]",Rep. Kurt Schrader [D-OR5],,,,115,,,TRUE,Representative for Oregon's 5th congressional district,5,1/10/17,1/3/19,2431 Rayburn HOB; Washington DC 20515-3705,,202-225-5699,2431 Rayburn House Office Building,http://schrader.house.gov/news/rss.aspx,,Democrat,S001180,10/19/51,1031358,male,https://www.govtrack.us/congress/members/kurt_schrader/412315,N00030071,10813,RepSchrader,repkurtschrader,202-225-5711,representative,,,OR,Rep.,Representative,https://schrader.house.gov,
Glenn,,Thompson,"Thompson, Glenn (Rep.) [R-PA5]",Rep. Glenn Thompson [R-PA5],,,,115,,,TRUE,Representative for Pennsylvania's 5th congressional district,5,1/3/17,1/3/19,124 Cannon HOB; Washington DC 20515-3805,,202-225-5796,124 Cannon House Office Building,http://thompson.house.gov/rss.xml,,Republican,T000467,7/27/59,1031359,male,https://www.govtrack.us/congress/members/glenn_thompson/412317,N00029736,24046,CongressmanGT,CongressmanGT,202-225-5121,representative,,,PA,Rep.,Representative,https://thompson.house.gov,
Dina,,Titus,"Titus, Dina (Rep.) [D-NV1]",Rep. Dina Titus [D-NV1],,,,115,,,TRUE,Representative for Nevada's 1st congressional district,1,1/3/17,1/3/19,2464 Rayburn HOB; Washington DC 20515-2801,,,2464 Rayburn House Office Building,http://titus.house.gov/rss.xml,,Democrat,T000468,5/23/50,1021622,female,https://www.govtrack.us/congress/members/dina_titus/412318,N00030191,2629,RepDinaTitus,CongresswomanTitus,202-225-5965,representative,,,NV,Rep.,Representative,https://titus.house.gov,
Paul,,Tonko,"Tonko, Paul (Rep.) [D-NY20]",Rep. Paul Tonko [D-NY20],,,,115,,,TRUE,Representative for New York's 20th congressional district,20,1/3/17,1/3/19,2463 Rayburn HOB; Washington DC 20515-3220,,202-225-5077,2463 Rayburn House Office Building,http://tonko.house.gov/rss/press-releases.xml,,Democrat,T000469,6/18/49,1031353,male,https://www.govtrack.us/congress/members/paul_tonko/412319,N00030196,4403,RepPaulTonko,reppaultonko,202-225-5076,representative,,,NY,Rep.,Representative,https://tonko.house.gov,
Marcia,L.,Fudge,"Fudge, Marcia (Rep.) [D-OH11]",Rep. Marcia Fudge [D-OH11],,,,115,,,TRUE,Representative for Ohio's 11th congressional district,11,1/3/17,1/3/19,2344 Rayburn HOB; Washington DC 20515-3511,,202-225-1339,2344 Rayburn House Office Building,http://fudge.house.gov/common/rss//index.cfm?rss=25,,Democrat,F000455,10/29/52,1030928,female,https://www.govtrack.us/congress/members/marcia_fudge/412327,N00030490,110640,RepMarciaFudge,marcialfudge,202-225-7032,representative,,,OH,Rep.,Representative,https://fudge.house.gov,
Michael,F.,Bennet,"Bennet, Michael (Sen.) [D-CO]",Sen. Michael Bennet [D-CO],,,,115,116,117,TRUE,Senior Senator from Colorado,,1/3/17,1/3/23,261 Russell Senate Office Building Washington DC 20510,https://www.bennet.senate.gov/?p=contact,202-228-5097,261 Russell Senate Office Building,http://www.bennet.senate.gov/rss/feeds/?type=news,,Democrat,B001267,11/28/64,1031622,male,https://www.govtrack.us/congress/members/michael_bennet/412330,N00030608,110942,SenBennetCo,SenatorBennet,202-224-5852,senator,class3,senior,CO,Sen.,Senator,https://www.bennet.senate.gov,
Mike,,Quigley,"Quigley, Mike (Rep.) [D-IL5]",Rep. Mike Quigley [D-IL5],,,,115,,,TRUE,Representative for Illinois's 5th congressional district,5,1/3/17,1/3/19,2458 Rayburn HOB; Washington DC 20515-1305,,202-225-5603,2458 Rayburn House Office Building,http://quigley.house.gov/index.php?format=feed&amp;type=rss,,Democrat,Q000023,10/17/58,9263344,male,https://www.govtrack.us/congress/members/mike_quigley/412331,N00030581,83310,RepMikeQuigley,RepMikeQuigley,202-225-4061,representative,,,IL,Rep.,Representative,https://quigley.house.gov,
Judy,M.,Chu,"Chu, Judy (Rep.) [D-CA27]",Rep. Judy Chu [D-CA27],,,,115,,,TRUE,Representative for California's 27th congressional district,27,1/3/17,1/3/19,2423 Rayburn HOB; Washington DC 20515-0527,,202-225-5467,2423 Rayburn House Office Building,http://chu.house.gov/rss.xml,,Democrat,C001080,7/7/53,92573,female,https://www.govtrack.us/congress/members/judy_chu/412379,N00030600,16539,RepJudyChu,RepJudyChu,202-225-5464,representative,,,CA,Rep.,Representative,https://chu.house.gov,
